Certification;QuestionNumber;QuestionDirectory;Answer Directory;Category;CorrectAnswer;Additional Resources;Hint
CLAD;26;/Data/QImages/Q0026.png;/Data/AImages/A0026.png;LabVIEW programming;A;;
CLAD;27;/Data/QImages/Q0027.png;/Data/AImages/A0027.png;LabVIEW programming;C;;
CLAD;28;/Data/QImages/Q0028.png;/Data/AImages/A0028.png;LabVIEW programming;BC ;;
CLAD;29;/Data/QImages/Q0029.png;/Data/AImages/A0029.png;LabVIEW programming;D;;
CLAD;30;/Data/QImages/Q0030.png;/Data/AImages/A0030.png;LabVIEW programming;C;;
CLAD;31;/Data/QImages/Q0031.png;/Data/AImages/A0031.png;LabVIEW programming;D;;
CLAD;32;/Data/QImages/Q0032.png;/Data/AImages/A0032.png;LabVIEW programming;A;;
CLAD;33;/Data/QImages/Q0033.png;/Data/AImages/A0033.png;LabVIEW programming;B;;
CLAD;34;/Data/QImages/Q0034.png;/Data/AImages/A0034.png;LabVIEW programming;D;;
CLAD;35;/Data/QImages/Q0035.png;/Data/AImages/A0035.png;LabVIEW programming;B;;
CLAD;36;/Data/QImages/Q0036.png;/Data/AImages/A0036.png;LabVIEW programming;D;;
CLAD;37;/Data/QImages/Q0037.png;/Data/AImages/A0037.png;DAQmx;C;;
CLAD;38;/Data/QImages/Q0038.png;/Data/AImages/A0038.png;DAQmx;B;;
CLAD;39;/Data/QImages/Q0039.png;/Data/AImages/A0039.png;DAQmx;ACD;;
CLAD;40;/Data/QImages/Q0040.png;/Data/AImages/A0040.png;DAQmx;A;;
CLAD;41;/Data/QImages/Q0041.png;/Data/AImages/A0041.png;DAQmx;AD;;
CLAD;42;/Data/QImages/Q0042.png;/Data/AImages/A0042.png;DAQmx;A;;
CLAD;43;/Data/QImages/Q0043.png;/Data/AImages/A0043.png;DAQmx;C;;
CLAD;44;/Data/QImages/Q0044.png;/Data/AImages/A0044.png;DAQmx;AC;;
CLAD;45;/Data/QImages/Q0045.png;/Data/AImages/A0045.png;DAQmx;B;;
CLAD;46;/Data/QImages/Q0046.png;/Data/AImages/A0046.png;DAQmx;B;;
CLAD;47;/Data/QImages/Q0047.png;/Data/AImages/A0047.png;DAQmx;D;;
CLAD;48;/Data/QImages/Q0048.png;/Data/AImages/A0048.png;DAQmx;B;;
CLAD;49;/Data/QImages/Q0049.png;/Data/AImages/A0049.png;DAQmx;C;;
CLAD;50;/Data/QImages/Q0050.png;/Data/AImages/A0050.png;DAQmx;A;;
CLAD;51;/Data/QImages/Q0051.png;/Data/AImages/A0051.png;DAQmx;AB;;
CLAD;52;/Data/QImages/Q0052.png;/Data/AImages/A0052.png;DAQmx;A;;
CLAD;53;/Data/QImages/Q0053.png;/Data/AImages/A0053.png;DAQmx;B;;
CLAD;54;/Data/QImages/Q0054.png;/Data/AImages/A0054.png;DAQmx;B;;
CLAD;55;/Data/QImages/Q0055.png;/Data/AImages/A0055.png;DAQmx;B;;
CLAD;56;/Data/QImages/Q0056.png;/Data/AImages/A0056.png;DAQmx;B;;
CLAD;57;/Data/QImages/Q0057.png;/Data/AImages/A0057.png;DAQmx;A;;
CLAD;58;/Data/QImages/Q0058.png;/Data/AImages/A0058.png;DAQmx;B;;
CLAD;59;/Data/QImages/Q0059.png;/Data/AImages/A0059.png;Sequential programming;B;;
CLAD;60;/Data/QImages/Q0060.png;/Data/AImages/A0060.png;Sequential programming;C;;
CLAD;61;/Data/QImages/Q0061.png;/Data/AImages/A0061.png;Sequential programming;B;;
CLAD;62;/Data/QImages/Q0062.png;/Data/AImages/A0062.png;Sequential programming;B;;
CLAD;63;/Data/QImages/Q0063.png;/Data/AImages/A0063.png;Sequential programming;B;;
CLAD;64;/Data/QImages/Q0064.png;/Data/AImages/A0064.png;Sequential programming;AC;;
CLAD;65;/Data/QImages/Q0065.png;/Data/AImages/A0065.png;Sequential programming;A;;
CLAD;66;/Data/QImages/Q0066.png;/Data/AImages/A0066.png;Sequential programming;D;;
CLAD;67;/Data/QImages/Q0067.png;/Data/AImages/A0067.png;Sequential programming;C;;
CLAD;68;/Data/QImages/Q0068.png;/Data/AImages/A0068.png;Sequential programming;C;;
CLAD;69;/Data/QImages/Q0069.png;/Data/AImages/A0069.png;Sequential programming;B;;
CLAD;70;/Data/QImages/Q0070.png;/Data/AImages/A0070.png;Sequential programming;BC;;
CLAD;71;/Data/QImages/Q0071.png;/Data/AImages/A0071.png;Sequential programming;D;;
CLAD;72;/Data/QImages/Q0072.png;/Data/AImages/A0072.png;Sequential programming;C;;
CLAD;73;/Data/QImages/Q0073.png;/Data/AImages/A0073.png;Sequential programming;B;;
CLAD;74;/Data/QImages/Q0074.png;/Data/AImages/A0074.png;Sequential programming;B;;
CLAD;75;/Data/QImages/Q0075.png;/Data/AImages/A0075.png;Sequential programming;B;;
CLAD;76;/Data/QImages/Q0076.png;/Data/AImages/A0076.png;Sequential programming;C;;
CLAD;77;/Data/QImages/Q0077.png;/Data/AImages/A0077.png;LabVIEW Syntax;A;;
CLAD;78;/Data/QImages/Q0078.png;/Data/AImages/A0078.png;LabVIEW Syntax;B;;
CLAD;79;/Data/QImages/Q0079.png;/Data/AImages/A0079.png;LabVIEW Syntax;D;;
CLAD;80;/Data/QImages/Q0080.png;/Data/AImages/A0080.png;LabVIEW Syntax;C;;
CLAD;81;/Data/QImages/Q0081.png;/Data/AImages/A0081.png;LabVIEW Syntax;B;;
CLAD;82;/Data/QImages/Q0082.png;/Data/AImages/A0082.png;LabVIEW Syntax;D;;
CLAD;83;/Data/QImages/Q0083.png;/Data/AImages/A0083.png;LabVIEW Syntax;A;;
CLAD;84;/Data/QImages/Q0084.png;/Data/AImages/A0084.png;LabVIEW Syntax;B;;
CLAD;85;/Data/QImages/Q0085.png;/Data/AImages/A0085.png;LabVIEW Syntax;C;;
CLAD;86;/Data/QImages/Q0086.png;/Data/AImages/A0086.png;LabVIEW Syntax;B;;
CLAD;87;/Data/QImages/Q0087.png;/Data/AImages/A0087.png;LabVIEW Syntax;D;;
CLAD;88;/Data/QImages/Q0088.png;/Data/AImages/A0088.png;LabVIEW Syntax;C;;
CLAD;89;/Data/QImages/Q0089.png;/Data/AImages/A0089.png;LabVIEW Syntax;A;;
CLAD;90;/Data/QImages/Q0090.png;/Data/AImages/A0090.png;LabVIEW Syntax;D;;
CLAD;91;/Data/QImages/Q0091.png;/Data/AImages/A0091.png;LabVIEW Syntax;D;;
CLAD;92;/Data/QImages/Q0092.png;/Data/AImages/A0092.png;Design Patterns;B;;
CLAD;93;/Data/QImages/Q0093.png;/Data/AImages/A0093.png;Debugging;B;;
CLAD;94;/Data/QImages/Q0094.png;/Data/AImages/A0094.png;Property Nodes;ABCD;;
CLAD;95;/Data/QImages/Q0095.png;/Data/AImages/A0095.png;VI SERVER;C;;
CLAD;96;/Data/QImages/Q0096.png;/Data/AImages/A0096.png;Loops;C;;
CLAD;97;/Data/QImages/Q0097.png;/Data/AImages/A0097.png;Debugging;B;;
CLAD;98;/Data/QImages/Q0098.png;/Data/AImages/A0098.png;VI SERVER;B;;
CLAD;99;/Data/QImages/Q0099.png;/Data/AImages/A0099.png;Charts and Graphs;A;;
CLAD;100;/Data/QImages/Q0100.png;/Data/AImages/A0100.png;Local and Global Variables;D;;
CLAD;101;/Data/QImages/Q0101.png;/Data/AImages/A0101.png;Design Patterns;C;;
CLAD;102;/Data/QImages/Q0102.png;/Data/AImages/A0102.png;Loops;C;;
CLAD;103;/Data/QImages/Q0103.png;/Data/AImages/A0103.png;LabVIEW Programming;A;;
CLAD;104;/Data/QImages/Q0104.png;/Data/AImages/A0104.png;Error Handling;D;;
CLAD;105;/Data/QImages/Q0105.png;/Data/AImages/A0105.png;LabVIEW Programming;D;;
CLAD;106;/Data/QImages/Q0106.png;/Data/AImages/A0106.png;Synchronization and Comunication;A;;
CLAD;107;/Data/QImages/Q0107.png;/Data/AImages/A0107.png;LabVIEW Programming;D;;
CLAD;108;/Data/QImages/Q0108.png;/Data/AImages/A0108.png;Arrays and Clusters;AD;;
CLAD;109;/Data/QImages/Q0109.png;/Data/AImages/A0109.png;Arrays and Clusters;A;;
CLAD;110;/Data/QImages/Q0110.png;/Data/AImages/A0110.png;Event, Case and Sequence Structures;A;;
CLAD;111;/Data/QImages/Q0111.png;/Data/AImages/A0111.png;Local and Global Variables;A;;
CLAD;112;/Data/QImages/Q0112.png;/Data/AImages/A0112.png;Loops;C;;
CLAD;113;/Data/QImages/Q0113.png;/Data/AImages/A0113.png;Arrays and Clusters;C;;
CLAD;114;/Data/QImages/Q0114.png;/Data/AImages/A0114.png;Documentacion;A;;
CLAD;115;/Data/QImages/Q0115.png;/Data/AImages/A0115.png;Loops;D;;
CLAD;116;/Data/QImages/Q0116.png;/Data/AImages/A0116.png;Property Nodes;C;;
CLAD;117;/Data/QImages/Q0117.png;/Data/AImages/A0117.png;Timing;A;;
CLAD;118;/Data/QImages/Q0118.png;/Data/AImages/A0118.png;Synchronization and Comunication;B;;
CLAD;119;/Data/QImages/Q0119.png;/Data/AImages/A0119.png;Arrays and Clusters;B;;
CLAD;120;/Data/QImages/Q0120.png;/Data/AImages/A0120.png;Event, Case and Sequence Structures;A;;
CLAD;121;/Data/QImages/Q0121.png;/Data/AImages/A0121.png;File IO;D;;
CLAD;122;/Data/QImages/Q0122.png;/Data/AImages/A0122.png;Event, Case and Sequence Structures;B;;
CLAD;123;/Data/QImages/Q0123.png;/Data/AImages/A0123.png;Timing;C;;
CLAD;124;/Data/QImages/Q0124.png;/Data/AImages/A0124.png;Data Types;A;;
CLAD;125;/Data/QImages/Q0125.png;/Data/AImages/A0125.png;Event, Case and Sequence Structures;C;;
CLAD;126;/Data/QImages/Q0126.png;/Data/AImages/A0126.png;LabVIEW Programming;B;;
CLAD;127;/Data/QImages/Q0127.png;/Data/AImages/A0127.png;Data Types;B;;
CLAD;128;/Data/QImages/Q0128.png;/Data/AImages/A0128.png;Error Handling;D;;
CLAD;129;/Data/QImages/Q0129.png;/Data/AImages/A0129.png;Charts and Graphs;B;;
CLAD;130;/Data/QImages/Q0130.png;/Data/AImages/A0130.png;Mechanical Actions;C;;
CLAD;131;/Data/QImages/Q0131.png;/Data/AImages/A0131.png;LabVIEW Programming;B;;
CLAD;132;/Data/QImages/Q0132.png;/Data/AImages/A0132.png;LabVIEW Programming;B;;
CLAD;133;/Data/QImages/Q0133.png;/Data/AImages/A0133.png;Arrays and Clusters;B;;
CLAD;134;/Data/QImages/Q0134.png;/Data/AImages/A0134.png;LabVIEW Programming;B;;
CLAD;135;/Data/QImages/Q0135.png;/Data/AImages/A0135.png;Arrays and Clusters;A;;
CLAD;136;/Data/QImages/Q0136.png;/Data/AImages/A0136.png;LabVIEW Programming;B;;
CLAD;137;/Data/QImages/Q0137.png;/Data/AImages/A0137.png;Arrays and Clusters;C;;
CLAD;138;/Data/QImages/Q0138.png;/Data/AImages/A0138.png;LabVIEW Programming;A;;
CLAD;139;/Data/QImages/Q0139.png;/Data/AImages/A0139.png;LabVIEW Programming;D;;
CLAD;140;/Data/QImages/Q0140.png;/Data/AImages/A0140.png;Arrays and Clusters;C;;
CLAD;141;/Data/QImages/Q0141.png;/Data/AImages/A0141.png;Arrays and Clusters;A;;
CLAD;142;/Data/QImages/Q0142.png;/Data/AImages/A0142.png;Arrays and Clusters;B;;
CLAD;143;/Data/QImages/Q0143.png;/Data/AImages/A0143.png;Charts and Graphs;C;;
CLAD;144;/Data/QImages/Q0144.png;/Data/AImages/A0144.png;Charts and Graphs;B;;
CLAD;145;/Data/QImages/Q0145.png;/Data/AImages/A0145.png;Charts and Graphs;D;;
CLAD;146;/Data/QImages/Q0146.png;/Data/AImages/A0146.png;Loops;C;;
CLAD;147;/Data/QImages/Q0147.png;/Data/AImages/A0147.png;Arrays and Clusters;B;;
CLAD;148;/Data/QImages/Q0148.png;/Data/AImages/A0148.png;Loops;A;;
CLAD;149;/Data/QImages/Q0149.png;/Data/AImages/A0149.png;Loops;C;;
CLAD;150;/Data/QImages/Q0150.png;/Data/AImages/A0150.png;LabVIEW Programming;B;;
CLAD;151;/Data/QImages/Q0151.png;/Data/AImages/A0151.png;Loops;C;;
CLAD;152;/Data/QImages/Q0152.png;/Data/AImages/A0152.png;Data Types;E;;
CLAD;153;/Data/QImages/Q0153.png;/Data/AImages/A0153.png;Charts and Graphs;A;;
CLAD;154;/Data/QImages/Q0154.png;/Data/AImages/A0154.png;Charts and Graphs;A;;
CLAD;155;/Data/QImages/Q0155.png;/Data/AImages/A0155.png;Charts and Graphs;D;;
CLAD;156;/Data/QImages/Q0156.png;/Data/AImages/A0156.png;Debugging;D;;
CLAD;157;/Data/QImages/Q0157.png;/Data/AImages/A0157.png;Error Handling;D;;
CLAD;158;/Data/QImages/Q0158.png;/Data/AImages/A0158.png;Design Patterns;C;;
CLAD;159;/Data/QImages/Q0159.png;/Data/AImages/A0159.png;Debugging;B;;
CLAD;160;/Data/QImages/Q0160.png;/Data/AImages/A0160.png;LabVIEW Programming;D;;
CLAD;161;/Data/QImages/Q0161.png;/Data/AImages/A0161.png;Data Types;A;;
CLAD;162;/Data/QImages/Q0162.png;/Data/AImages/A0162.png;Error Handling;D;;
CLAD;163;/Data/QImages/Q0163.png;/Data/AImages/A0163.png;Debugging;B;;
CLAD;164;/Data/QImages/Q0164.png;/Data/AImages/A0164.png;Error Handling;D;;
CLAD;165;/Data/QImages/Q0165.png;/Data/AImages/A0165.png;LabVIEW Programming;B;;
CLAD;166;/Data/QImages/Q0166.png;/Data/AImages/A0166.png;Arrays and Clusters;B;;
CLAD;167;/Data/QImages/Q0167.png;/Data/AImages/A0167.png;Arrays and Clusters;D;;
CLAD;168;/Data/QImages/Q0168.png;/Data/AImages/A0168.png;Charts and Graphs;B;;
CLAD;169;/Data/QImages/Q0169.png;/Data/AImages/A0169.png;Charts and Graphs;B;;
CLAD;170;/Data/QImages/Q0170.png;/Data/AImages/A0170.png;Loops;D;;
CLAD;171;/Data/QImages/Q0171.png;/Data/AImages/A0171.png;LabVIEW Programming;B;;
CLAD;172;/Data/QImages/Q0172.png;/Data/AImages/A0172.png;Arrays and Clusters;C;;
CLAD;173;/Data/QImages/Q0173.png;/Data/AImages/A0173.png;Functions and Variables;A;;
CLAD;174;/Data/QImages/Q0174.png;/Data/AImages/A0174.png;Loops;C;;
CLAD;175;/Data/QImages/Q0175.png;/Data/AImages/A0175.png;Error Handling;CDE;;
CLAD;176;/Data/QImages/Q0176.png;/Data/AImages/A0176.png;Functions and Variables;ABCD;;
CLAD;177;/Data/QImages/Q0177.png;/Data/AImages/A0177.png;DAQmx;ACDE;;
CLAD;178;/Data/QImages/Q0178.png;/Data/AImages/A0178.png;DAQmx;ABCD;;
CLAD;179;/Data/QImages/Q0179.png;/Data/AImages/A0179.png;DAQmx;A;;
CLAD;180;/Data/QImages/Q0180.png;/Data/AImages/A0180.png;Arrays and Clusters;D;;
CLAD;181;/Data/QImages/Q0181.png;/Data/AImages/A0181.png;Loops;D;;
CLAD;182;/Data/QImages/Q0182.png;/Data/AImages/A0182.png;Arrays and Clusters;D;;
CLAD;183;/Data/QImages/Q0183.png;/Data/AImages/A0183.png;Arrays and Clusters;B ;;
CLAD;184;/Data/QImages/Q0184.png;/Data/AImages/A0184.png;Arrays and Clusters;D;;
CLAD;185;/Data/QImages/Q0185.png;/Data/AImages/A0185.png;Error Handling;ACDE;;
CLAD;186;/Data/QImages/Q0186.png;/Data/AImages/A0186.png;Functions and Variables;A;;
CLAD;187;/Data/QImages/Q0187.png;/Data/AImages/A0187.png;LabVIEW enviroment ;A;;
CLAD;188;/Data/QImages/Q0188.png;/Data/AImages/A0188.png;Loops;B;;
CLAD;189;/Data/QImages/Q0189.png;/Data/AImages/A0189.png;Data Types;B;;
CLAD;190;/Data/QImages/Q0190.png;/Data/AImages/A0190.png;LabVIEW enviroment ;B;;
CLAD;191;/Data/QImages/Q0191.png;/Data/AImages/A0191.png;Data Types;C;;
CLAD;192;/Data/QImages/Q0192.png;/Data/AImages/A0192.png;Loops;C;;
CLAD;193;/Data/QImages/Q0193.png;/Data/AImages/A0193.png;Functions and Variables;A;;
CLAD;194;/Data/QImages/Q0194.png;/Data/AImages/A0194.png;Loops;D;;
CLAD;195;/Data/QImages/Q0195.png;/Data/AImages/A0195.png;Functions and Variables;A;;
CLAD;196;/Data/QImages/Q0196.png;/Data/AImages/A0196.png;Functions and Variables;C;;
CLAD;197;/Data/QImages/Q0197.png;/Data/AImages/A0197.png;Functions and Variables;B;;
CLAD;198;/Data/QImages/Q0198.png;/Data/AImages/A0198.png;Arrays & Clusters;C;;
CLAD;199;/Data/QImages/Q0199.png;/Data/AImages/A0199.png;Arrays & Clusters;D;;
CLAD;200;/Data/QImages/Q0200.png;/Data/AImages/A0200.png;Arrays & Clusters;A;;
CLAD;201;/Data/QImages/Q0201.png;/Data/AImages/A0201.png;Design Patterns;B;;
CLAD;202;/Data/QImages/Q0202.png;/Data/AImages/A0202.png;Loops;B;;
CLAD;203;/Data/QImages/Q0203.png;/Data/AImages/A0203.png;Mechanical actions;B;;
CLAD;204;/Data/QImages/Q0204.png;/Data/AImages/A0204.png;Charts and Graphs;A;;
CLAD;205;/Data/QImages/Q0205.png;/Data/AImages/A0205.png;LabVIEW enviroment ;B;;
CLAD;206;/Data/QImages/Q0206.png;/Data/AImages/A0206.png;Functions and Variables;B;;
CLAD;207;/Data/QImages/Q0207.png;/Data/AImages/A0207.png;Design Patterns;C;;
CLAD;208;/Data/QImages/Q0208.png;/Data/AImages/A0208.png;Loops;C;;
CLAD;209;/Data/QImages/Q0209.png;/Data/AImages/A0209.png;Charts and Graphs;B;;
CLAD;210;/Data/QImages/Q0210.png;/Data/AImages/A0210.png;Functions and Variables;A;;
CLAD;211;/Data/QImages/Q0211.png;/Data/AImages/A0211.png;Functions and Variables;C;;
CLAD;212;/Data/QImages/Q0212.png;/Data/AImages/A0212.png;Loops;B;;
CLAD;213;/Data/QImages/Q0213.png;/Data/AImages/A0213.png;Functions and Variables;C;;
CLAD;214;/Data/QImages/Q0214.png;/Data/AImages/A0214.png;Functions and Variables;A;;
CLAD;215;/Data/QImages/Q0215.png;/Data/AImages/A0215.png;Design Patterns;D;;
CLAD;216;/Data/QImages/Q0216.png;/Data/AImages/A0216.png;Data Types;A;;
CLAD;217;/Data/QImages/Q0217.png;/Data/AImages/A0217.png;Arrays & Clusters;C;;
CLAD;218;/Data/QImages/Q0218.png;/Data/AImages/A0218.png;LabVIEW enviroment ;D;;
CLAD;219;/Data/QImages/Q0219.png;/Data/AImages/A0219.png;Arrays & Clusters;A;;
CLAD;220;/Data/QImages/Q0220.png;/Data/AImages/A0220.png;Design Patterns;C;;
CLAD;221;/Data/QImages/Q0221.png;/Data/AImages/A0221.png;Loops;C;;
CLAD;222;/Data/QImages/Q0222.png;/Data/AImages/A0222.png;Charts and Graphs;A;;
CLAD;223;/Data/QImages/Q0223.png;/Data/AImages/A0223.png;Charts and Graphs;A;;
CLAD;224;/Data/QImages/Q0224.png;/Data/AImages/A0224.png;LabVIEW enviroment ;CD;;
CLAD;225;/Data/QImages/Q0225.png;/Data/AImages/A0225.png;Functions and Variables;ABCD;;
CLAD;226;/Data/QImages/Q0226.png;/Data/AImages/A0226.png;LabVIEW enviroment ;AD;;
CLAD;227;/Data/QImages/Q0227.png;/Data/AImages/A0227.png;Arrays & Clusters;D;;
CLAD;228;/Data/QImages/Q0228.png;/Data/AImages/A0228.png;Loops;A;;
CLAD;229;/Data/QImages/Q0229.png;/Data/AImages/A0229.png;Arrays & Clusters;D;;
CLAD;230;/Data/QImages/Q0230.png;/Data/AImages/A0230.png;Arrays & Clusters;B;;
CLAD;231;/Data/QImages/Q0231.png;/Data/AImages/A0231.png;Arrays & Clusters;D;;
CLAD;232;/Data/QImages/Q0232.png;/Data/AImages/A0232.png;Data Types;B;;
CLAD;233;/Data/QImages/Q0233.png;/Data/AImages/A0233.png;Loops;ACBD;;
CLAD;234;/Data/QImages/Q0234.png;/Data/AImages/A0234.png;Loops;EF;;
CLAD;235;/Data/QImages/Q0235.png;/Data/AImages/A0235.png;Data Types;A;;
CLAD;236;/Data/QImages/Q0236.png;/Data/AImages/A0236.png;Arrays & Clusters;C;;
CLAD;237;/Data/QImages/Q0237.png;/Data/AImages/A0237.png;Functions and Variables;C;;
CLAD;238;/Data/QImages/Q0238.png;/Data/AImages/A0238.png;Error Handling;ACDE;;
CLAD;239;/Data/QImages/Q0239.png;/Data/AImages/A0239.png;Functions and Variables;A;;
CLAD;240;/Data/QImages/Q0240.png;/Data/AImages/A0240.png;DAQmx;ABCD;;
CLAD;241;/Data/QImages/Q0241.png;/Data/AImages/A0241.png;Data Types;ACDE;;
CLAD;242;/Data/QImages/Q0242.png;/Data/AImages/A0242.png;DAQmx;ABCD;;
CLAD;243;/Data/QImages/Q0243.png;/Data/AImages/A0243.png;DAQmx;A;;
CLAD;244;/Data/QImages/Q0244.png;/Data/AImages/A0244.png;DAQmx;A;;
CLAD;245;/Data/QImages/Q0245.png;/Data/AImages/A0245.png;Functions and Variables;C;;
CLAD;246;/Data/QImages/Q0246.png;/Data/AImages/A0246.png;Functions and Variables;D;;
CLAD;247;/Data/QImages/Q0247.png;/Data/AImages/A0247.png;Functions and Variables;D;;
CLAD;248;/Data/QImages/Q0248.png;/Data/AImages/A0248.png;Functions and Variables;A;;
CLAD;249;/Data/QImages/Q0249.png;/Data/AImages/A0249.png;Functions and Variables;D;;
CLAD;250;/Data/QImages/Q0250.png;/Data/AImages/A0250.png;Functions and Variables;B;;
CLAD;251;/Data/QImages/Q0251.png;/Data/AImages/A0251.png;Functions and Variables;ABD;;
CLAD;252;/Data/QImages/Q0252.png;/Data/AImages/A0252.png;Functions and Variables;A;;
CLAD;253;/Data/QImages/Q0253.png;/Data/AImages/A0253.png;Functions and Variables;D;;
CLAD;254;/Data/QImages/Q0254.png;/Data/AImages/A0254.png;Arrays & Clusters;ABCD;;
CLAD;255;/Data/QImages/Q0255.png;/Data/AImages/A0255.png;Functions and Variables;C;;
CLAD;256;/Data/QImages/Q0256.png;/Data/AImages/A0256.png;Arrays & Clusters;A;;
CLAD;257;/Data/QImages/Q0257.png;/Data/AImages/A0257.png;Functions and Variables;B;;
CLAD;258;/Data/QImages/Q0258.png;/Data/AImages/A0258.png;Arrays & Clusters;B;;
CLAD;259;/Data/QImages/Q0259.png;/Data/AImages/A0259.png;Arrays & Clusters;D;;
CLAD;260;/Data/QImages/Q0260.png;/Data/AImages/A0260.png;Arrays & Clusters;BCD;;
CLAD;261;/Data/QImages/Q0261.png;/Data/AImages/A0261.png;Arrays & Clusters;A;;
CLAD;262;/Data/QImages/Q0262.png;/Data/AImages/A0262.png;Functions and Variables;A;;
CLAD;263;/Data/QImages/Q0263.png;/Data/AImages/A0263.png;Arrays & Clusters;D;;
CLAD;264;/Data/QImages/Q0264.png;/Data/AImages/A0264.png;Arrays & Clusters;B;;
CLAD;265;/Data/QImages/Q0265.png;/Data/AImages/A0265.png;Arrays & Clusters;C;;
CLAD;266;/Data/QImages/Q0266.png;/Data/AImages/A0266.png;DAQmx;B;;
